,strDrink,idDrink,strAlcoholic,strCategory,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9
0,'57 Chevy with a White License Plate,14029,Alcoholic,Cocktail,Creme de Cacao,,,,,,,Vodka,,,,,,,
1,1-900-FUK-MEUP,15395,Alcoholic,Shot,Absolut Kurant,,,,,,,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,
2,110 in the shade,15423,Alcoholic,Beer,Lager,,,,,,,Tequila,,,,,,,
3,151 Florida Bushwacker,14588,Alcoholic,Milk / Float / Shake,Malibu rum,,,,,,,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,
4,155 Belmont,15346,Alcoholic,Cocktail,Dark rum,,,,,,,Light rum,Vodka,Orange juice,,,,,
5,24k nightmare,17060,Alcoholic,Shot,Goldschlager,,,,,,,Jägermeister,Rumple Minze,151 proof rum,,,,,
6,252,15288,Alcoholic,Shot,151 proof rum,,,,,,,Wild Turkey,,,,,,,
7,3 Wise Men,13899,Alcoholic,Shot,Jack Daniels,,,,,,,Johnnie Walker,Jim Beam,,,,,,
8,3-Mile Long Island Iced Tea,15300,Alcoholic,Ordinary Drink,Gin,,,,,,,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon
9,410 Gone,13581,Alcoholic,Ordinary Drink,Peach Vodka,,,,,,,Coca-Cola,,,,,,,
10,50/50,14598,Alcoholic,Ordinary Drink,Vanilla vodka,,,,,,,Grand Marnier,Orange juice,,,,,,
11,501 Blue,17105,Alcoholic,Ordinary Drink,Blue Curacao,,,,,,,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,
12,69 Special,13940,Alcoholic,Ordinary Drink,Gin,,,,,,,7-Up,Lemon juice,,,,,,
13,747,14229,Alcoholic,Shot,Kahlua,,,,,,,Bailey's irish cream,Frangelico,,,,,,
14,9 1/2 Weeks,16108,Alcoholic,Cocktail,Absolut Citron,,,,,,,Orange Curacao,Strawberry liqueur,Orange juice,,,,,
15,A Day at the Beach,15200,Alcoholic,Ordinary Drink,Coconut rum,,,,,,,Amaretto,Orange juice,Grenadine,,,,,
16,A Furlong Too Late,11000,Alcoholic,Ordinary Drink,Light rum,,,,,,,Ginger beer,Lemon peel,,,,,,
17,A Gilligan's Island,16943,Alcoholic,Cocktail,Vodka,,,,,,,Peach schnapps,Orange juice,Cranberry juice,,,,,
18,A Night In Old Mandalay,11001,Alcoholic,Ordinary Drink,Light rum,,,,,,,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,
19,A Piece of Ass,16405,Alcoholic,Other/Unknown,Amaretto,,,,,,,Southern Comfort,Ice,Sour mix,,,,,
20,A Splash of Nash,14564,Alcoholic,Shot,Cranberry juice,,,,,,,Soda water,Midori melon liqueur,Creme de Banane,,,,,
21,A True Amaretto Sour,17005,Alcoholic,Cocktail,Amaretto,,,,,,,Lemon,Ice,Maraschino cherry,,,,,
22,A midsummernight dream,15675,Alcoholic,Ordinary Drink,Vodka,,,,,,,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,
23,A. J.,11002,Alcoholic,Ordinary Drink,Applejack,,,,,,,Grapefruit juice,,,,,,,
24,A.D.M. (After Dinner Mint),14560,Alcoholic,Cocktail,White Creme de Menthe,,,,,,,Southern Comfort,Vodka,Hot chocolate,,,,,
25,A1,17222,Alcoholic,Cocktail,Gin,,,,,,,Grand Marnier,Lemon Juice,Grenadine,,,,,
26,ABC,13501,Alcoholic,Shot,Amaretto,,,,,,,Bailey's irish cream,Cognac,,,,,,
27,ACID,14610,Alcoholic,Shot,151 proof rum,,,,,,,Wild Turkey,,,,,,,
28,AT&T,13938,Alcoholic,Ordinary Drink,Absolut Vodka,,,,,,,Gin,Tonic water,,,,,,
29,Abbey Cocktail,11003,Alcoholic,Ordinary Drink,Gin,,,,,,,Orange bitters,Orange,Cherry,,,,,
30,Abbey Martini,17223,Alcoholic,Cocktail,Gin,,,,,,,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,
31,Abilene,11004,Alcoholic,Ordinary Drink,Dark rum,,,,,,,Peach nectar,Orange juice,,,,,,
32,Absinthe #2,12790,Alcoholic,Homemade Liqueur,Vodka,,,,,,,Sugar,Anise,Licorice root,Wormwood,,,,
33,Absolut Evergreen,14374,Alcoholic,Other/Unknown,Absolut Citron,,,,,,,Pisang Ambon,Ice,Bitter lemon,,,,,
34,Absolut Sex,14360,Alcoholic,Shot,Absolut Kurant,,,,,,,Midori melon liqueur,Cranberry juice,Sprite,,,,,
35,Absolut Stress #2,15597,Alcoholic,Ordinary Drink,Absolut Vodka,,,,,,,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,
36,Absolut Summertime,14107,Alcoholic,Cocktail,Absolut Citron,,,,,,,Sweet and sour,Sprite,Soda water,Lemon,,,,
37,Absolut limousine,14372,Alcoholic,Other/Unknown,Absolut Citron,,,,,,,Lime juice,Ice,Tonic water,,,,,
38,Absolutely Cranberry Smash,15024,Alcoholic,Ordinary Drink,Absolut Vodka,,,,,,,Cranberry juice,Ginger ale,Ice,,,,,
39,Absolutely Fabulous,17224,Alcoholic,Cocktail,Vodka,,,,,,,Cranberry Juice,Champagne,,,,,,
40,Absolutly Screwed Up,16134,Alcoholic,Cocktail,Absolut Citron,,,,,,,Orange juice,Triple sec,Ginger ale,,,,,
41,Acapulco,11005,Alcoholic,Ordinary Drink,Light rum,,,,,,,Triple sec,Lime juice,Sugar,Egg white,Mint,,,
42,Ace,17225,Alcoholic,Cocktail,Gin,,,,,,,Grenadine,Heavy cream,Milk,Egg White,,,,
43,Adam,11006,Alcoholic,Ordinary Drink,Dark rum,,,,,,,Lemon juice,Grenadine,,,,,,
44,Adam & Eve,17226,Alcoholic,Cocktail,Gin,,,,,,,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,
